,SCR,FCR,Total
Aquisicoes,16.3,308.1,32.6
Alienacoes,58.8,33.9,92.7
Investimento Liquido,-42.5,274.2,231.7
Valor das Transaccoes,75.1,342,417.1
Rotacao das Carteiras,0.34,0.273,0.283
